Id,Objeto,Calle,Altura,Direc_norm,Telefono,Barrio,Comuna,Longitud,Latitud
584,FARMACIA,AV CALLAO,1501,CALLAO AV. 1501,48126764,RECOLETA,2,-58.391658457143727,-34.591826255878054
585,FARMACIA,RECONQUISTA,613,RECONQUISTA 613,43133459,SAN NICOLAS,1,-58.372384240342257,-34.600626728720464
586,FARMACIA,AV CORDOBA,2401,CORDOBA AV. 2401,49610338,RECOLETA,2,-58.401168790572491,-34.59928820004864
587,FARMACIA,RAMALLO,2802,RAMALLO 2802,47029687 47931917,SAAVEDRA,12,-58.476767601925815,-34.544490604690367
589,FARMACIA,AV SAN JUAN,2000,SAN JUAN AV. 2000,43069032 43046739,SAN CRISTOBAL,3,-58.393618938998365,-34.623051428297906
590,FARMACIA,AV IRIARTE,2200,"IRIARTE, GRAL. AV. 2200",3010254/7880,BARRACAS,4,-58.378004821146249,-34.64928788060233
591,FARMACIA,AV CORRIENTES,3687,CORRIENTES AV. 3687,48664018,ALMAGRO,5,-58.416464098115512,-34.603474763772006
592,FARMACIA,DEFENSA,201,DEFENSA 201,43434040,MONSERRAT,1,-58.372204512131177,-34.610286000671984
593,FARMACIA,AV CORDOBA,4102,CORDOBA AV. 4102,48629051,VILLA CRESPO,15,-58.42497604996808,-34.597209763338526
594,FARMACIA,BRASIL,1184,BRASIL 1184,3040273 3069425,CONSTITUCION,1,-58.382459854892986,-34.628024020838147
596,FARMACIA,AV RIVADAVIA,3030,RIVADAVIA AV. 3030,48624091/95 48624092 48624093,BALVANERA,3,-58.409361611735278,-34.6105494605996
597,FARMACIA,AV SAENZ,1071,SAENZ AV. 1071,49194200 49193687,NUEVA POMPEYA,4,-58.416653127854993,-34.652765812860387
599,FARMACIA,AV CABILDO,799,CABILDO AV. 799,47713534,PALERMO,14,-58.444509296188372,-34.569859563101197
600,FARMACIA,PABELLON 2 CIUDAD UNIVERSITARIA,0.00000000000,PABELLON 2 CIUDAD UNIVERSITARIA,45763374,BELGRANO,13,-58.442459366067027,-34.541981861878995
602,FARMACIA,AV CORDOBA,2351,CORDOBA AV. 2351,59508511,RECOLETA,2,-58.400605216914727,-34.599357816050897
603,FARMACIA,AV RIVADAVIA,8880,RIVADAVIA AV. 8880,46743797,VELEZ SARSFIELD,10,-58.488970460535782,-34.635722741359814
604,FARMACIA,DR. RAFAEL BIELSA (EX MORLOTE),300,"BIELSA, RAFAEL, Dr. 300",45530884,PATERNAL,15,-58.468244953775454,-34.594193133414741
605,FARMACIA,ECUADOR,1651,ECUADOR 1651,48277000 int 2285,RECOLETA,2,-58.402404161411532,-34.591621938713203
606,FARMACIA,AV BELGRANO,2199,BELGRANO AV. 2199,41271318,BALVANERA,3,-58.397313004511545,-34.614018909274527
607,FARMACIA,SAN MARTIN DE TOURS,2952,SAN MARTIN DE TOURS 2952,48095504 int 003,PALERMO,14,-58.404247795905562,-34.578058814840105
608,FARMACIA,GASCON,450,GASCON 450,49590200 int 4823,ALMAGRO,5,-58.424814716236789,-34.606622006144562
609,FARMACIA,LARREA,1032,LARREA 1032,48247070,RECOLETA,2,-58.401661867223915,-34.595801149774083
610,FARMACIA,CAMPANA,4658,CAMPANA 4658,,VILLA DEVOTO,11,-58.507203349100301,-34.590133710434152
611,FARMACIA,PERDRIEL,74,PERDRIEL 74,43096400,BARRACAS,4,-58.387822936352784,-34.63473643087579
612,FARMACIA,BARTOLOME MITRE,2040,"MITRE, BARTOLOME 2040",40136415,BALVANERA,3,-58.395592874732593,-34.608383492135673
613,FARMACIA,H. YRIGOYEN,2251,"YRIGOYEN, HIPOLITO 2251",,BALVANERA,3,-58.398018586512976,-34.6105763919781
614,FARMACIA,BOLIVAR,326,BOLIVAR 326,40132700,MONSERRAT,1,-58.37314153478215,-34.611714785571451
615,FARMACIA,GALVAN,4102,GALVAN 4102,52990500,SAAVEDRA,12,-58.494772589726871,-34.557452368496577
616,FARMACIA,MORENO,1559,MORENO 1559,43465758,MONSERRAT,1,-58.388356357091709,-34.612248324492498
617,FARMACIA,USPALLATA,3400,USPALLATA 3400,49094160,PARQUE PATRICIOS,4,-58.411574856726205,-34.639713389630685
618,FARMACIA,BEJAMIN MATIENZO,1830,"MATIENZO, BENJAMIN, TENIENTE 1830",47773158,PALERMO,14,-58.434541750874963,-34.569164874163292
619,FARMACIA,AV RIVADAVIA,4299,RIVADAVIA AV. 4299,49814433,ALMAGRO,5,-58.426136128233466,-34.613532704497594
620,FARMACIA,AV LUIS MARIA CAMPOS,726,"CAMPOS, LUIS M. AV. 726",47781404,PALERMO,14,-58.43600530382448,-34.570428356225378
621,FARMACIA,LARREA,552,LARREA 552,49624895,BALVANERA,3,-58.402457248733654,-34.602626259672817
623,FARMACIA,AV PATRICIAS ARGENTINAS,351,PATRICIAS ARGENTINAS AV. 351,,CABALLITO,6,-58.434550814725128,-34.604094988503014
624,FARMACIA,RAMOS MEJIA,905,RAMOS MEJIA 905,48646799,CABALLITO,6,-58.432576615953536,-34.605226690729559
625,FARMACIA,AV CORRIENTES,301,CORRIENTES AV. 301,43124111,SAN NICOLAS,1,-58.371288844712133,-34.602896292936272
626,FARMACIA,AV RIVADAVIA,5360,RIVADAVIA AV. 5360,49027335 49029382,CABALLITO,6,-58.440681696146143,-34.620384692522371
627,FARMACIA,AV RIVADAVIA,3284,RIVADAVIA AV. 3284,48610646,BALVANERA,3,-58.412830707176191,-34.610799666212472
628,FARMACIA,JERONIMO SALGUERO,2715,"SALGUERO, JERONIMO 2715",48027565,PALERMO,14,-58.408163421728744,-34.580300343575487
629,FARMACIA,OLAVARRIA,1363,OLAVARRIA 1363,43027326,BARRACAS,4,-58.370847675789832,-34.639100656494513
630,FARMACIA,HALL EST RETIRO FCGBM,0.00000000000,HALL EST RETIRO FCGBM,43116637,RETIRO,1,-58.375537612651847,-34.591026522047194
631,FARMACIA,AV EMILIO CASTRO,6699,"CASTRO, EMILIO AV. 6699",46416425,LINIERS,9,-58.514416513412087,-34.651305421757471
633,FARMACIA,AV CASEROS,1990,CASEROS AV. 1990,43632400,BARRACAS,4,-58.39006391477772,-34.63424670265546
634,FARMACIA,TALCAHUANO,750,TALCAHUANO 750,,SAN NICOLAS,1,-58.385628275693719,-34.59989508648264
635,FARMACIA,TUCUMAN,1601,TUCUMAN 1601,43744212,SAN NICOLAS,1,-58.389664170320877,-34.601702898881264
636,FARMACIA,AV CORRIENTES,4617,CORRIENTES AV. 4617,48612267,ALMAGRO,5,-58.430452542297893,-34.602045873369988
637,FARMACIA,AV TRIUNVIRATO,4602,TRIUNVIRATO AV. 4602,45237577 45210037 45224228,VILLA URQUIZA,12,-58.485703130403827,-34.574975867685055
639,FARMACIA,RIOBAMBA,923,RIOBAMBA 923,48114648,RECOLETA,2,-58.394413107361558,-34.59828279499586
640,FARMACIA,AV PUEYRREDON,1719,PUEYRREDON AV. 1719,48244914,RECOLETA,2,-58.400693456080916,-34.591352836969605
641,FARMACIA,ALVAREZ JONTE,2475,ALVAREZ JONTE 2475,45812966,VILLA DEL PARQUE,11,-58.477204968221876,-34.606994190299275
642,FARMACIA,AV SAN JUAN,2233,SAN JUAN AV. 2233,49425021,SAN CRISTOBAL,3,-58.396889455640746,-34.622933029628626
643,FARMACIA,AV RAUL SCALABRINI ORTIZ,14,"SCALABRINI ORTIZ, RAUL AV. 14",48543069,VILLA CRESPO,15,-58.442247252418127,-34.601808598830061
644,FARMACIA,VENEZUELA,802,REPUBLICA BOLIVARIANA DE VENEZUELA 802,43421252,MONSERRAT,1,-58.37766851689836,-34.614107444849012
645,FARMACIA,AV JURAMENTO,2002,JURAMENTO AV. 2002,47849025 47841186 47831186,BELGRANO,13,-58.452959557633939,-34.560070115573737
646,FARMACIA,AV J. DE GARAY,400,"GARAY, JUAN DE AV. 400",43617262,SAN TELMO,1,-58.371057072144268,-34.624398197639927
647,FARMACIA,ANCHORENA,639,"ANCHORENA, TOMAS MANUEL DE, DR. 639",,BALVANERA,3,-58.409353797324911,-34.6019666246222
648,FARMACIA,AV RIVADAVIA,4002,RIVADAVIA AV. 4002,49815204,ALMAGRO,5,-58.42247100639279,-34.612273608066481
649,FARMACIA,AV CABILDO,3399,CABILDO AV. 3399,47028021,NUÑEZ,13,-58.466039788388606,-34.551229904615703
650,FARMACIA,AV RIVADAVIA,8701,RIVADAVIA AV. 8701,46720370,VELEZ SARSFIELD,10,-58.48689181336799,-34.634860134853461
651,FARMACIA,ROJAS,143,ROJAS 143,49021365,CABALLITO,6,-58.441944107176937,-34.618769973088007
652,FARMACIA,AV SAENZ,296,SAENZ AV. 296,49111622,NUEVA POMPEYA,4,-58.41593794137917,-34.642591061201173
653,FARMACIA,AV SAENZ,1181,SAENZ AV. 1181,49190509,NUEVA POMPEYA,4,-58.416816434939577,-34.654414699972726
654,FARMACIA,PACHECO DE MELO,2402,"PACHECO DE MELO, JOSE ANDRES 2402",48059575,RECOLETA,2,-58.399073795415866,-34.588343737539425
655,FARMACIA,BOLIVAR,1001,BOLIVAR 1001,4307132 443629978,SAN TELMO,1,-58.373050946294299,-34.619736122430474
656,FARMACIA,AV BELGRANO,2509,BELGRANO AV. 2509,49427461 43085189,BALVANERA,3,-58.401604029354978,-34.614264102562736
657,FARMACIA,AV FEDERICO LACROZE,2278,"LACROZE, FEDERICO AV. 2278",47720361,PALERMO,14,-58.443367249106025,-34.568682077249662
658,FARMACIA,AV LOPE DE VEGA,2667,LOPE DE VEGA AV. 2667,45676441,VILLA DEVOTO,11,-58.520533543147067,-34.61724717121443
659,FARMACIA,AV FEDERICO LACROZE,1701,"LACROZE, FEDERICO 1701",47722864,PALERMO,14,-58.439022459307431,-34.563699587531538
660,FARMACIA,AV LOPE DE VEGA,3249,LOPE DE VEGA AV. 3249,46396010/3871,VILLA DEVOTO,11,-58.525912875146574,-34.613194681524618
661,FARMACIA,AV SANTA FE,3089,SANTA FE AV. 3089,48235991,RECOLETA,2,-58.408549677776833,-34.590064671021182
662,FARMACIA,RINCON,96,RINCON 96,49540788,BALVANERA,3,-58.396047347650516,-34.6104150042596
