SECTOR,AFECTACION,GEOMETRY
Soldati,Mayor anegamiento,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-58.440797,-34.661216|||-58.440716,-34.66115|||-58.440625,-34.661077|||-58.440276,-34.660801|||-58.439975,-34.660565|||-58.439669,-34.660323|||-58.439569,-34.660243|||-58.439506,-34.660293|||-58.439587,-34.660358|||-58.439884,-34.660593|||-58.440222,-34.66086|||-58.440512,-34.661088|||-58.440648,-34.661198|||-58.440583,-34.661249|||-58.440051,-34.661667|||-58.43951,-34.661441|||-58.438886,-34.661179|||-58.438558,-34.661044|||-58.438471,-34.661116|||-58.438592,-34.661168|||-58.438722,-34.661198|||-58.438793,-34.661228|||-58.439487,-34.661519|||-58.439977,-34.661724|||-58.44009,-34.66177|||-58.440363,-34.661556|||-58.440633,-34.661341|||-58.440797,-34.661216</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Villa Crespo,Mediano anegamiento,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-58.44475,-34.59982|||-58.444668,-34.599758|||-58.44414,-34.600233|||-58.44379,-34.600552|||-58.44387,-34.600616|||-58.444199,-34.600317|||-58.44475,-34.59982</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Villa Crespo,Mediano anegamiento,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-58.455468,-34.60176|||-58.455371,-34.601689|||-58.455063,-34.602033|||-58.455149,-34.602091|||-58.455468,-34.60176</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Belgrano,Mayor anegamiento,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-58.453266,-34.55427|||-58.452203,-34.55364|||-58.452125,-34.553731|||-58.453194,-34.55436|||-58.453266,-34.55427</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Saavedra,Mayor anegamiento,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-58.488797,-34.551957|||-58.488739,-34.551867|||-58.488713,-34.551907|||-58.488528,-34.552182|||-58.488309,-34.552509|||-58.488253,-34.552592|||-58.488223,-34.552648|||-58.48816,-34.552744|||-58.488224,-34.552776|||-58.488403,-34.552518|||-58.488797,-34.551957</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Saavedra,Mayor anegamiento,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-58.488491,-34.551734|||-58.488396,-34.551725|||-58.488346,-34.55178|||-58.488342,-34.551802|||-58.488247,-34.551938|||-58.488065,-34.552192|||-58.487984,-34.552307|||-58.48784,-34.55251|||-58.487807,-34.552559|||-58.487861,-34.552584|||-58.487914,-34.552509|||-58.488127,-34.552196|||-58.488302,-34.551939|||-58.488453,-34.551759|||-58.488471,-34.551746|||-58.488491,-34.551734</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Devoto,Mayor anegamiento,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-58.519486,-34.603735|||-58.518458,-34.603101|||-58.518478,-34.603053|||-58.518485,-34.602989|||-58.516526,-34.602915|||-58.51621,-34.602908|||-58.514784,-34.602892|||-58.514781,-34.603002|||-58.515785,-34.603014|||-58.516185,-34.603029|||-58.515644,-34.603612|||-58.51571,-34.603651|||-58.516245,-34.603071|||-58.516397,-34.603006|||-58.516481,-34.602967|||-58.517981,-34.603027|||-58.518031,-34.60304|||-58.518066,-34.603079|||-58.518066,-34.603127|||-58.517531,-34.603709|||-58.517605,-34.603754|||-58.518167,-34.603143|||-58.519361,-34.603872|||-58.519486,-34.603735</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Devoto,Mayor anegamiento,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-58.51821,-34.600774|||-58.516948,-34.599989|||-58.516291,-34.600715|||-58.516361,-34.600758|||-58.516962,-34.600094|||-58.518158,-34.600833|||-58.51821,-34.600774</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Devoto,Mayor anegamiento,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-58.518969,-34.597876|||-58.517697,-34.597086|||-58.517974,-34.596788|||-58.517874,-34.596773|||-58.517627,-34.597047|||-58.51696,-34.596635|||-58.516772,-34.596605|||-58.517576,-34.597105|||-58.516978,-34.597766|||-58.517051,-34.597811|||-58.517052,-34.597812|||-58.51764,-34.597147|||-58.518834,-34.597883|||-58.518247,-34.598552|||-58.517052,-34.597812|||-58.517051,-34.597812|||-58.517051,-34.597811|||-58.515777,-34.597026|||-58.51624,-34.59652|||-58.516143,-34.596504|||-58.515706,-34.596982|||-58.515652,-34.597044|||-58.515728,-34.597088|||-58.516921,-34.597828|||-58.516317,-34.598486|||-58.516395,-34.598534|||-58.516992,-34.597865|||-58.518267,-34.59865|||-58.518969,-34.597876</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Devoto,Mayor anegamiento,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-58.51709,-34.594157|||-58.517857,-34.593307|||-58.518614,-34.593771|||-58.518667,-34.593716|||-58.51791,-34.593245|||-58.518624,-34.592455|||-58.518463,-34.592359|||-58.517744,-34.593151|||-58.5157,-34.591897|||-58.517112,-34.590327|||-58.517041,-34.590286|||-58.515573,-34.591911|||-58.517696,-34.593213|||-58.516981,-34.594|||-58.516225,-34.593536|||-58.516171,-34.593597|||-58.51709,-34.594157</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Devoto,Mayor anegamiento,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-58.515374,-34.590468|||-58.515176,-34.590356|||-58.513833,-34.590756|||-58.514039,-34.590864|||-58.515374,-34.590468</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Devoto,Mayor anegamiento,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-58.508999,-34.592507|||-58.508857,-34.592561|||-58.508099,-34.593396|||-58.508167,-34.59344|||-58.508999,-34.592507</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Devoto,Mediano anegamiento,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-58.5167,-34.590075|||-58.51651,-34.589959|||-58.515182,-34.590353|||-58.516341,-34.59106|||-58.516392,-34.591003|||-58.515476,-34.590438|||-58.5167,-34.590075</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Devoto,Mediano anegamiento,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-58.517103,-34.590225|||-58.517042,-34.590285|||-58.517195,-34.59037|||-58.517711,-34.590683|||-58.518344,-34.591074|||-58.517686,-34.591795|||-58.516464,-34.591049|||-58.516413,-34.591105|||-58.517634,-34.591854|||-58.516919,-34.592645|||-58.516992,-34.59269|||-58.517704,-34.5919|||-58.518758,-34.592536|||-58.519374,-34.59292|||-58.519425,-34.592864|||-58.518679,-34.5924|||-58.519264,-34.591749|||-58.519181,-34.591564|||-58.518511,-34.5923|||-58.517758,-34.591838|||-58.518359,-34.591175|||-58.518469,-34.59106|||-58.517711,-34.590595|||-58.517103,-34.590225</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Devoto,Mediano anegamiento,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-58.516941,-34.59275|||-58.516869,-34.592708|||-58.516154,-34.593491|||-58.514933,-34.592746|||-58.515646,-34.591957|||-58.515577,-34.591913|||-58.514865,-34.592703|||-58.51363,-34.591945|||-58.514345,-34.591159|||-58.5148,-34.591436|||-58.515572,-34.591912|||-58.515626,-34.591852|||-58.514802,-34.591351|||-58.514019,-34.590871|||-58.513918,-34.590901|||-58.514273,-34.591115|||-58.513559,-34.591902|||-58.51258,-34.5913|||-58.512475,-34.59133|||-58.513572,-34.591999|||-58.514875,-34.592801|||-58.516169,-34.593597|||-58.51694,-34.592752|||-58.516941,-34.59275</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Devoto,Mediano anegamiento,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-58.515444,-34.595708|||-58.515601,-34.595802|||-58.516303,-34.595021|||-58.516949,-34.595419|||-58.517059,-34.595487|||-58.516224,-34.59641|||-58.516323,-34.596425|||-58.517131,-34.59553|||-58.518314,-34.596259|||-58.517948,-34.59667|||-58.518064,-34.596684|||-58.518402,-34.596313|||-58.51919,-34.595441|||-58.519324,-34.595524|||-58.520461,-34.596223|||-58.521047,-34.595555|||-58.521013,-34.595484|||-58.520445,-34.596119|||-58.519376,-34.595466|||-58.51924,-34.595382|||-58.520009,-34.594528|||-58.519934,-34.594487|||-58.519184,-34.595326|||-58.518404,-34.596178|||-58.51721,-34.595443|||-58.517975,-34.5946|||-58.517149,-34.594093|||-58.517096,-34.594151|||-58.51785,-34.594615|||-58.517137,-34.5954|||-58.517002,-34.595315|||-58.516384,-34.594936|||-58.517087,-34.594158|||-58.516925,-34.59406|||-58.516077,-34.595|||-58.515444,-34.595708</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Devoto,Mediano anegamiento,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-58.512802,-34.592723|||-58.511183,-34.591717|||-58.511041,-34.591763|||-58.511442,-34.592012|||-58.511098,-34.592382|||-58.511003,-34.591776|||-58.510886,-34.591822|||-58.511,-34.592486|||-58.511175,-34.593507|||-58.511321,-34.594392|||-58.511371,-34.59467|||-58.511514,-34.595507|||-58.510809,-34.59507|||-58.510739,-34.595143|||-58.511523,-34.59562|||-58.511548,-34.595713|||-58.511698,-34.595744|||-58.511698,-34.595728|||-58.511897,-34.595749|||-58.51165,-34.595592|||-58.511483,-34.594635|||-58.511456,-34.59446|||-58.511569,-34.594525|||-58.51262,-34.595172|||-58.512671,-34.595112|||-58.511439,-34.594357|||-58.511276,-34.593406|||-58.511119,-34.592479|||-58.511513,-34.592061|||-58.512726,-34.592811|||-58.512802,-34.592723</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Devoto,Mediano anegamiento,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-58.509687,-34.59225|||-58.509616,-34.592088|||-58.509582,-34.592078|||-58.509554,-34.592065|||-58.50953,-34.592043|||-58.509516,-34.592021|||-58.509511,-34.591993|||-58.509337,-34.59201|||-58.509055,-34.592314|||-58.506238,-34.593368|||-58.506419,-34.593469|||-58.509687,-34.59225</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Devoto,Mediano anegamiento,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-58.519636,-34.597128|||-58.519568,-34.597088|||-58.518898,-34.597831|||-58.518962,-34.59787|||-58.519636,-34.597128</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Devoto,Mediano anegamiento,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-58.519529,-34.606|||-58.519475,-34.606056|||-58.520668,-34.606796|||-58.520581,-34.60689|||-58.520133,-34.607386|||-58.520001,-34.607537|||-58.519438,-34.60816|||-58.519508,-34.608207|||-58.520064,-34.607587|||-58.520667,-34.606914|||-58.520738,-34.606842|||-58.520794,-34.606875|||-58.521542,-34.607335|||-58.521613,-34.607292|||-58.520843,-34.606814|||-58.520697,-34.606726|||-58.519529,-34.606</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Devoto,Mediano anegamiento,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-58.511386,-34.596557|||-58.510289,-34.595887|||-58.508861,-34.595004|||-58.508806,-34.595059|||-58.510132,-34.595873|||-58.511324,-34.596613|||-58.510731,-34.597281|||-58.510731,-34.597281|||-58.510798,-34.597322|||-58.511396,-34.596658|||-58.511776,-34.596894|||-58.511978,-34.598052|||-58.510798,-34.597322|||-58.510797,-34.597322|||-58.510731,-34.597281|||-58.51073,-34.597281|||-58.510731,-34.597281|||-58.509493,-34.596515|||-58.50944,-34.596574|||-58.512011,-34.598161|||-58.512037,-34.598159|||-58.512077,-34.598155|||-58.512642,-34.597518|||-58.512693,-34.597457|||-58.513447,-34.597917|||-58.513496,-34.597863|||-58.512748,-34.597403|||-58.513345,-34.596741|||-58.513273,-34.596704|||-58.512677,-34.597364|||-58.51187,-34.596865|||-58.51188,-34.596954|||-58.512628,-34.597416|||-58.512065,-34.598043|||-58.511888,-34.597036|||-58.511863,-34.596819|||-58.511783,-34.596306|||-58.511729,-34.596043|||-58.511711,-34.595926|||-58.511609,-34.596022|||-58.51163,-34.59614|||-58.511638,-34.596219|||-58.511634,-34.59625|||-58.511386,-34.596557</coordinates></LinearRing></outerBoundaryIs><innerBoundaryIs><LinearRing><coordinates>-58.511387,-34.596557|||-58.511461,-34.596601|||-58.51167,-34.596366|||-58.51169,-34.596482|||-58.511721,-34.596659|||-58.511748,-34.596778|||-58.511387,-34.596557</coordinates></LinearRing></innerBoundaryIs><innerBoundaryIs><LinearRing><coordinates>-58.511387,-34.596557|||-58.511386,-34.596558|||-58.511386,-34.596557|||-58.511387,-34.596557</coordinates></LinearRing></innerBoundaryIs></Polygon>"
Devoto,Mediano anegamiento,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-58.510508,-34.599476|||-58.510577,-34.599406|||-58.50954,-34.598763|||-58.508207,-34.597937|||-58.508247,-34.597894|||-58.508762,-34.597326|||-58.511286,-34.598877|||-58.511398,-34.598754|||-58.51023,-34.598029|||-58.510058,-34.597926|||-58.508883,-34.597192|||-58.508814,-34.597151|||-58.508138,-34.597894|||-58.505561,-34.596309|||-58.505495,-34.596377|||-58.506755,-34.597158|||-58.506143,-34.597841|||-58.506238,-34.597899|||-58.507454,-34.598644|||-58.507503,-34.598586|||-58.506287,-34.597836|||-58.506848,-34.597216|||-58.508035,-34.597951|||-58.509371,-34.598773|||-58.50881,-34.599394|||-58.50888,-34.599436|||-58.509441,-34.598816|||-58.510508,-34.599476</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Devoto,Mediano anegamiento,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-58.508149,-34.595784|||-58.508057,-34.595725|||-58.507668,-34.596155|||-58.507505,-34.596349|||-58.50622,-34.595545|||-58.506097,-34.595681|||-58.507333,-34.596444|||-58.507459,-34.596531|||-58.508149,-34.595784</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Devoto,Mediano anegamiento,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-58.521435,-34.599395|||-58.520237,-34.598661|||-58.520188,-34.598713|||-58.521381,-34.599454|||-58.521435,-34.599395</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Devoto,Mediano anegamiento,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-58.518876,-34.600154|||-58.518817,-34.600116|||-58.518238,-34.600744|||-58.518112,-34.600886|||-58.517557,-34.601505|||-58.517622,-34.601546|||-58.518188,-34.600924|||-58.518232,-34.600875|||-58.518387,-34.600972|||-58.519418,-34.601608|||-58.519501,-34.601658|||-58.520143,-34.600942|||-58.520072,-34.600904|||-58.519479,-34.601556|||-58.51842,-34.600905|||-58.518283,-34.600816|||-58.518312,-34.600785|||-58.518876,-34.600154</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Devoto,Mediano anegamiento,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-58.513779,-34.599259|||-58.513693,-34.599206|||-58.513138,-34.599821|||-58.513229,-34.599876|||-58.513779,-34.599259</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Devoto,Mediano anegamiento,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-58.520114,-34.603159|||-58.52004,-34.603116|||-58.519979,-34.603187|||-58.519624,-34.603583|||-58.519309,-34.603932|||-58.519054,-34.604216|||-58.518801,-34.604491|||-58.518874,-34.604532|||-58.51915,-34.604228|||-58.519384,-34.60397|||-58.519433,-34.603916|||-58.520621,-34.604647|||-58.520745,-34.604513|||-58.519557,-34.603778|||-58.51959,-34.603741|||-58.519721,-34.603593|||-58.520114,-34.603159</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Devoto,Mediano anegamiento,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-58.514708,-34.603035|||-58.514658,-34.60309|||-58.515599,-34.603674|||-58.51503,-34.604302|||-58.51497,-34.604263|||-58.513833,-34.603563|||-58.514264,-34.603082|||-58.514191,-34.60305|||-58.513762,-34.60352|||-58.51357,-34.603401|||-58.51297,-34.603027|||-58.512866,-34.603073|||-58.512855,-34.60308|||-58.51287,-34.603101|||-58.512877,-34.603133|||-58.513039,-34.604096|||-58.513066,-34.60424|||-58.512936,-34.604167|||-58.512564,-34.603938|||-58.512235,-34.603739|||-58.511888,-34.603527|||-58.511845,-34.603569|||-58.512196,-34.603783|||-58.512502,-34.603971|||-58.512841,-34.60418|||-58.51298,-34.604266|||-58.513049,-34.60431|||-58.512957,-34.604417|||-58.512662,-34.604742|||-58.512423,-34.605|||-58.512486,-34.605042|||-58.51272,-34.604786|||-58.512988,-34.604489|||-58.513083,-34.604371|||-58.513112,-34.604524|||-58.513283,-34.605513|||-58.513383,-34.60558|||-58.513318,-34.605186|||-58.513201,-34.604539|||-58.513117,-34.604054|||-58.512988,-34.603251|||-58.512985,-34.603127|||-58.513387,-34.603376|||-58.513713,-34.60358|||-58.513143,-34.604199|||-58.513162,-34.604308|||-58.51378,-34.603619|||-58.515037,-34.604396|||-58.51566,-34.603709|||-58.516931,-34.604496|||-58.516985,-34.604437|||-58.517041,-34.604379|||-58.517603,-34.603753|||-58.517534,-34.60371|||-58.517429,-34.603649|||-58.516448,-34.603042|||-58.516405,-34.603003|||-58.516321,-34.60304|||-58.516383,-34.603081|||-58.517384,-34.603698|||-58.517486,-34.603764|||-58.516918,-34.604396|||-58.514708,-34.603035</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Villa Pueyrredon,Mediano anegamiento,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-58.505811,-34.584561|||-58.505738,-34.584519|||-58.50528,-34.585027|||-58.505017,-34.585314|||-58.505093,-34.585357|||-58.50535,-34.585073|||-58.505811,-34.584561</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Villa Pueyrredon,Mayor anegamiento,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-58.513198,-34.585553|||-58.513245,-34.585501|||-58.513718,-34.584977|||-58.513797,-34.58489|||-58.513976,-34.585|||-58.515074,-34.585676|||-58.515137,-34.585595|||-58.514038,-34.584921|||-58.513866,-34.584813|||-58.51412,-34.584533|||-58.514666,-34.583927|||-58.514613,-34.583895|||-58.514546,-34.583858|||-58.513799,-34.583395|||-58.513336,-34.583107|||-58.513472,-34.582958|||-58.513925,-34.582452|||-58.513855,-34.582409|||-58.513386,-34.582929|||-58.513111,-34.583237|||-58.512783,-34.583604|||-58.512466,-34.583947|||-58.512535,-34.58399|||-58.512539,-34.583992|||-58.513194,-34.583264|||-58.513283,-34.583165|||-58.513697,-34.583424|||-58.514166,-34.583714|||-58.51444,-34.583885|||-58.514557,-34.583957|||-58.514082,-34.584484|||-58.513813,-34.584781|||-58.513694,-34.584707|||-58.512606,-34.584033|||-58.512539,-34.583992|||-58.512538,-34.583993|||-58.512535,-34.58399|||-58.51239,-34.583902|||-58.511977,-34.58365|||-58.511939,-34.583621|||-58.511998,-34.583551|||-58.512625,-34.582854|||-58.512841,-34.582635|||-58.512915,-34.582553|||-58.513334,-34.58209|||-58.513292,-34.582061|||-58.512863,-34.582532|||-58.51283,-34.582568|||-58.512813,-34.582582|||-58.512782,-34.582613|||-58.512758,-34.58261|||-58.512737,-34.582608|||-58.512715,-34.582564|||-58.512655,-34.582479|||-58.512638,-34.582448|||-58.512612,-34.582396|||-58.5126,-34.582366|||-58.512575,-34.582299|||-58.512564,-34.58224|||-58.512552,-34.582167|||-58.512562,-34.5819|||-58.512568,-34.581741|||-58.512578,-34.581719|||-58.512366,-34.581739|||-58.512364,-34.58178|||-58.512358,-34.581794|||-58.512353,-34.581801|||-58.512186,-34.581988|||-58.512072,-34.582116|||-58.511995,-34.5822|||-58.511981,-34.582211|||-58.511944,-34.582252|||-58.511994,-34.582283|||-58.512041,-34.582311|||-58.512214,-34.582117|||-58.512247,-34.58208|||-58.512299,-34.582038|||-58.512346,-34.582054|||-58.512355,-34.582105|||-58.512358,-34.582163|||-58.512364,-34.582215|||-58.51237,-34.582261|||-58.512375,-34.582288|||-58.512409,-34.582413|||-58.512418,-34.582441|||-58.51243,-34.58249|||-58.512393,-34.582512|||-58.512355,-34.582494|||-58.512334,-34.58249|||-58.512203,-34.582409|||-58.512041,-34.582311|||-58.512041,-34.582311|||-58.511994,-34.582283|||-58.511944,-34.582252|||-58.511944,-34.582252|||-58.511871,-34.582207|||-58.510784,-34.581532|||-58.510773,-34.581522|||-58.510747,-34.581508|||-58.510679,-34.581557|||-58.511782,-34.58224|||-58.512149,-34.582468|||-58.51226,-34.582537|||-58.512627,-34.582766|||-58.512563,-34.582833|||-58.511932,-34.58353|||-58.511881,-34.583591|||-58.511823,-34.583673|||-58.512248,-34.583934|||-58.512536,-34.584109|||-58.513609,-34.584775|||-58.513742,-34.58486|||-58.51365,-34.584962|||-58.513195,-34.585466|||-58.51315,-34.585516|||-58.511874,-34.584733|||-58.511823,-34.584789|||-58.513094,-34.585576|||-58.512496,-34.586237|||-58.512426,-34.586308|||-58.513763,-34.587131|||-58.513167,-34.587795|||-58.513237,-34.587838|||-58.513267,-34.587804|||-58.513757,-34.587262|||-58.513798,-34.587349|||-58.514296,-34.588369|||-58.515133,-34.590094|||-58.515235,-34.590333|||-58.515436,-34.590279|||-58.515347,-34.590085|||-58.514662,-34.588681|||-58.514066,-34.587426|||-58.51393,-34.587075|||-58.514495,-34.586441|||-58.5151,-34.58681|||-58.515147,-34.586748|||-58.514478,-34.586341|||-58.514405,-34.586295|||-58.514063,-34.586084|||-58.51361,-34.585805|||-58.513198,-34.585553</coordinates></LinearRing></outerBoundaryIs><innerBoundaryIs><LinearRing><coordinates>-58.513197,-34.585553|||-58.513147,-34.585609|||-58.513579,-34.585875|||-58.514016,-34.586144|||-58.514254,-34.58629|||-58.514426,-34.586397|||-58.513831,-34.587056|||-58.512553,-34.58627|||-58.513114,-34.585645|||-58.513197,-34.585553</coordinates></LinearRing></innerBoundaryIs><innerBoundaryIs><LinearRing><coordinates>-58.513198,-34.585553|||-58.513197,-34.585553|||-58.513198,-34.585553|||-58.513198,-34.585553</coordinates></LinearRing></innerBoundaryIs></Polygon>"
Villa Urquiza - Belgrano,Mediano anegamiento,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-58.46024,-34.561258|||-58.460188,-34.561318|||-58.461011,-34.561808|||-58.460855,-34.561984|||-58.46063,-34.562242|||-58.460353,-34.562561|||-58.460174,-34.562758|||-58.459329,-34.563753|||-58.459218,-34.563881|||-58.459035,-34.564094|||-58.458847,-34.564313|||-58.458633,-34.564561|||-58.458707,-34.564605|||-58.458792,-34.564503|||-58.458952,-34.564316|||-58.459136,-34.564101|||-58.459308,-34.563902|||-58.459546,-34.563625|||-58.459963,-34.563137|||-58.460419,-34.562605|||-58.460699,-34.562284|||-58.460905,-34.562045|||-58.461078,-34.561848|||-58.461437,-34.562061|||-58.461773,-34.562262|||-58.461824,-34.562293|||-58.461897,-34.562336|||-58.461769,-34.562485|||-58.461578,-34.562705|||-58.461153,-34.563188|||-58.461232,-34.563236|||-58.461659,-34.562739|||-58.461841,-34.562524|||-58.461966,-34.56238|||-58.462017,-34.56241|||-58.462281,-34.562568|||-58.462528,-34.562713|||-58.462762,-34.562853|||-58.462809,-34.562891|||-58.462866,-34.562825|||-58.462805,-34.562789|||-58.462594,-34.562662|||-58.462312,-34.562492|||-58.462072,-34.562349|||-58.461845,-34.562217|||-58.461489,-34.562003|||-58.461154,-34.561804|||-58.461032,-34.561731|||-58.46024,-34.561258</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Palermo Viejo,Mediano anegamiento,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-58.439532,-34.58813|||-58.439374,-34.588011|||-58.439247,-34.588092|||-58.439209,-34.588114|||-58.438864,-34.588344|||-58.438517,-34.588573|||-58.438519,-34.588576|||-58.438344,-34.588688|||-58.438395,-34.588841|||-58.438455,-34.588836|||-58.438474,-34.58884|||-58.438508,-34.588853|||-58.438587,-34.588802|||-58.43859,-34.58878|||-58.43874,-34.588679|||-58.438719,-34.58867|||-58.439378,-34.588228|||-58.439532,-34.58813</coordinates></LinearRing></outerBoundaryIs></Polygon>"
